State,POC_Group_1,POC_Group_2,POC_Group_3,POC_Group_4,POC_NIPW
Australian Capital Territory,96.66377516,95.42017789,91.86942076,85.61412339,81.97309078
New South Wales,97.73293626,96.47626344,93.39063342,89.21567666,82.7606536
Northern Territory,92.03644748,90.25254743,80.74579864,62.9259685,31.03321534
Queensland,96.9816996,95.01121277,91.03948676,86.30526611,77.86445212
South Australia,96.50454899,94.49115933,92.27611869,87.58670044,79.02841027
Tasmania,96.35402537,93.95440862,90.16397349,84.11648053,73.15601869
Victoria,97.78475215,96.34907345,93.81782561,90.10912359,82.62915362
Western Australia,97.52113224,96.23293959,93.65029947,89.85007058,79.14560223
