Degree,Median Weekly Income,,,,
Postgraduate Degree,"$1,818",,,,
Graduate Diploma or Graduate Certificate,"$1,724",,,,
Bachelor Degree,"$1,566",,,,
Advanced Diploma and Diploma,"$1,226",,,,
Certificate,"$1,153",,,,
No non-school qualification,$857,,,,
