Country,Degree,Count
 Japan , Graduate Diploma or Graduate Cert. ,1290
 Japan , Bachelor ,13967
 Japan , Advanced Diploma or Diploma ,6729
 Japan , Certificate ,4378
 Japan , No non-school qualification ,10051
" Korea, Republic of (South) ", Postgraduate ,9131
" Korea, Republic of (South) ", Graduate Diploma or Graduate Cert. ,1963
" Korea, Republic of (South) ", Bachelor ,35534
" Korea, Republic of (South) ", Advanced Diploma or Diploma ,14418
" Korea, Republic of (South) ", Certificate ,7880
" Korea, Republic of (South) ", No non-school qualification ,24695
 Lebanon , Postgraduate ,3262
 Lebanon , Graduate Diploma or Graduate Cert. ,764
 Lebanon , Bachelor ,7749
 Lebanon , Advanced Diploma or Diploma ,6873
 Lebanon , Certificate ,11080
 Lebanon , No non-school qualification ,51692
 Malaysia , Postgraduate ,20073
 Malaysia , Graduate Diploma or Graduate Cert. ,5054
 Malaysia , Bachelor ,58269
 Malaysia , Advanced Diploma or Diploma ,17759
 Malaysia , Certificate ,10953
 Malaysia , No non-school qualification ,39972
 Malta , Postgraduate ,504
 Malta , Graduate Diploma or Graduate Cert. ,229
 Malta , Bachelor ,1274
 Malta , Advanced Diploma or Diploma ,1496
 Malta , Certificate ,5299
 Malta , No non-school qualification ,24080
 Myanmar , Postgraduate ,1789
 Myanmar , Graduate Diploma or Graduate Cert. ,377
 Myanmar , Bachelor ,5631
 Myanmar , Advanced Diploma or Diploma ,2220
 Myanmar , Certificate ,4545
 Myanmar , No non-school qualification ,22275
 Nepal , Postgraduate ,25986
 Nepal , Graduate Diploma or Graduate Cert. ,1818
 Nepal , Bachelor ,34602
 Nepal , Advanced Diploma or Diploma ,19879
 Nepal , Certificate ,7515
 Nepal , No non-school qualification ,24699
 Netherlands , Postgraduate ,4753
 Netherlands , Graduate Diploma or Graduate Cert. ,1246
 Netherlands , Bachelor ,8652
 Netherlands , Advanced Diploma or Diploma ,7286
 Netherlands , Certificate ,13339
 Netherlands , No non-school qualification ,24629
 New Zealand , Postgraduate ,19943
 New Zealand , Graduate Diploma or Graduate Cert. ,11015
 New Zealand , Bachelor ,67163
 New Zealand , Advanced Diploma or Diploma ,52142
 New Zealand , Certificate ,118407
 New Zealand , No non-school qualification ,205997
 North Macedonia , Postgraduate ,859
 North Macedonia , Graduate Diploma or Graduate Cert. ,364
 North Macedonia , Bachelor ,3495
 North Macedonia , Advanced Diploma or Diploma ,3008
 North Macedonia , Certificate ,5851
 North Macedonia , No non-school qualification ,25955
 Pakistan , Postgraduate ,21349
 Pakistan , Graduate Diploma or Graduate Cert. ,1478
 Pakistan , Bachelor ,23771
 Pakistan , Advanced Diploma or Diploma ,5208
 Pakistan , Certificate ,3848
 Pakistan , No non-school qualification ,18916
 Papua New Guinea , Postgraduate ,1693
 Papua New Guinea , Graduate Diploma or Graduate Cert. ,997
 Papua New Guinea , Bachelor ,5694
 Papua New Guinea , Advanced Diploma or Diploma ,3614
 Papua New Guinea , Certificate ,6209
 Papua New Guinea , No non-school qualification ,9625
 Philippines , Postgraduate ,11639
 Philippines , Graduate Diploma or Graduate Cert. ,4402
 Philippines , Bachelor ,110814
 Philippines , Advanced Diploma or Diploma ,23370
 Philippines , Certificate ,43457
 Philippines , No non-school qualification ,69200
 Poland , Postgraduate ,7809
 Poland , Graduate Diploma or Graduate Cert. ,865
 Poland , Bachelor ,8608
 Poland , Advanced Diploma or Diploma ,6071
 Poland , Certificate ,7987
 Poland , No non-school qualification ,11003
 Samoa , Postgraduate ,227
 Samoa , Graduate Diploma or Graduate Cert. ,243
 Samoa , Bachelor ,1039
 Samoa , Advanced Diploma or Diploma ,2085
 Samoa , Certificate ,4505
 Samoa , No non-school qualification ,17017
 Scotland , Postgraduate ,7468
 Scotland , Graduate Diploma or Graduate Cert. ,3562
 Scotland , Bachelor ,19642
 Scotland , Advanced Diploma or Diploma ,13104
 Scotland , Certificate ,26376
 Scotland , No non-school qualification ,39842
 Singapore , Postgraduate ,8063
 Singapore , Graduate Diploma or Graduate Cert. ,2204
 Singapore , Bachelor ,19191
 Singapore , Advanced Diploma or Diploma ,5760
 Singapore , Certificate ,4067
 Singapore , No non-school qualification ,13529
 South Africa , Postgraduate ,18559
 South Africa , Graduate Diploma or Graduate Cert. ,5891
 South Africa , Bachelor ,52160
 South Africa , Advanced Diploma or Diploma ,26678
 South Africa , Certificate ,28416
 South Africa , No non-school qualification ,40196
 Sri Lanka , Postgraduate ,19824
 Sri Lanka , Graduate Diploma or Graduate Cert. ,4088
 Sri Lanka , Bachelor ,36146
 Sri Lanka , Advanced Diploma or Diploma ,19159
 Sri Lanka , Certificate ,12170
 Sri Lanka , No non-school qualification ,29601
 Syria , Postgraduate ,706
 Syria , Graduate Diploma or Graduate Cert. ,207
 Syria , Bachelor ,2620
 Syria , Advanced Diploma or Diploma ,1767
 Syria , Certificate ,2557
 Syria , No non-school qualification ,16376
 Taiwan , Postgraduate ,8350
 Taiwan , Graduate Diploma or Graduate Cert. ,1081
 Taiwan , Bachelor ,17400
 Taiwan , Advanced Diploma or Diploma ,5013
 Taiwan , Certificate ,2626
 Taiwan , No non-school qualification ,10280
 Thailand , Postgraduate ,6076
 Thailand , Graduate Diploma or Graduate Cert. ,622
 Thailand , Bachelor ,19864
 Thailand , Advanced Diploma or Diploma ,8458
 Thailand , Certificate ,9233
 Thailand , No non-school qualification ,29469
 Turkey , Postgraduate ,2386
 Turkey , Graduate Diploma or Graduate Cert. ,503
 Turkey , Bachelor ,5509
 Turkey , Advanced Diploma or Diploma ,2844
 Turkey , Certificate ,4160
 Turkey , No non-school qualification ,20291
 United States of America , Postgraduate ,18105
 United States of America , Graduate Diploma or Graduate Cert. ,2322
 United States of America , Bachelor ,29342
 United States of America , Advanced Diploma or Diploma ,6461
 United States of America , Certificate ,8046
 United States of America , No non-school qualification ,20843
 Vietnam , Postgraduate ,14334
 Vietnam , Graduate Diploma or Graduate Cert. ,2436
 Vietnam , Bachelor ,43482
 Vietnam , Advanced Diploma or Diploma ,18901
 Vietnam , Certificate ,21909
 Vietnam , No non-school qualification ,139415
 Wales , Postgraduate ,2289
 Wales , Graduate Diploma or Graduate Cert. ,1019
 Wales , Bachelor ,6076
 Wales , Advanced Diploma or Diploma ,3546
 Wales , Certificate ,6307
 Wales , No non-school qualification ,8087
 Zimbabwe , Postgraduate ,4713
 Zimbabwe , Graduate Diploma or Graduate Cert. ,1430
 Zimbabwe , Bachelor ,11193
 Zimbabwe , Advanced Diploma or Diploma ,6440
 Zimbabwe , Certificate ,6633
 Zimbabwe , No non-school qualification ,6893
 Elsewhere , Postgraduate ,74328
 Elsewhere , Graduate Diploma or Graduate Cert. ,14328
 Elsewhere , Bachelor ,146216
 Elsewhere , Advanced Diploma or Diploma ,79914
 Elsewhere , Certificate ,116553
 Elsewhere , No non-school qualification ,237152
