Cluster,Fields,2024_cost_per_eftsl,Four_year_Degree_Cost,2024_Indexation
1,"Business, Law and Social Sciences",16323,65292,2611.68
2,Education and Mathematical Sciences,4445,17780,711.2
2,Health Science and Creative Disciplines,8948,35792,1431.68
3,"Nursing, Indigenous and Foreign Languages",4445,17780,711.2
3,Engineering and Sciences,8948,35792,1431.68
4,Agriculture,4445,17780,711.2
4,Pathology,8948,35792,1431.68
4,"Medicine, Dentistry or Veterinary Science",12720,50880,2035.2
