State,Catholic,Government,Independent,Students_CAT,Students_GOV,Students_IND
Australian Capital Territory,1.66E+04,1.88E+04,1.63E+04,1.48E+04,4.64E+04,1.54E+04
New South Wales,1.83E+04,1.89E+04,2.46E+04,2.23E+05,7.88E+05,2.30E+05
Northern Territory,2.86E+04,2.55E+04,2.80E+04,4.79E+03,2.93E+04,6.04E+03
Queensland,1.88E+04,1.74E+04,2.10E+04,1.57E+05,5.71E+05,1.43E+05
South Australia,1.97E+04,1.87E+04,2.18E+04,4.97E+04,1.72E+05,5.41E+04
Tasmania,2.01E+04,1.97E+04,2.34E+04,1.54E+04,5.79E+04,1.10E+04
Victoria,1.80E+04,1.68E+04,2.55E+04,2.10E+05,6.49E+05,1.62E+05
Western Australia,1.80E+04,1.84E+04,2.11E+04,6.89E+04,3.07E+05,8.06E+04
Grand Total,1.97E+04,1.93E+04,2.27E+04,8.73E+04,3.07E+05,8.99E+04
